is_pancake,recipe_id,servings,flour,eggs,baking_powder,baking_soda,butter,oil,buttermilk,fruit,milk,sugar,water,total_volume,std_volume,total_liquid,std_liquid,prop_liquid,total_fat,prop_fat
1,244545,5,0.5,3,0.03124995,NA,NA,NA,NA,NA,3,NA,NA,8.540364525,1.7080729049999999,6,1.2,0.7025461246339483,0,0
1,260556,6,1,1,0.0833332,NA,NA,NA,NA,NA,1.25,NA,NA,2.520833,0.42013883333333335,1.25,0.20833333333333334,0.4958678341643417,0.1249998,0.0495867040775807
1,21385,5,0.5,2,0.0208333,0.0208333,0.25,NA,1,NA,NA,0.125,NA,3.9166666,0.78333332,1,0.2,0.25531915328202814,0.25,0.06382978832050704
1,242253,4,2,2,0.0625,NA,NA,0.25,NA,NA,0.5,0.5,NA,4.854166599999999,1.2135416499999998,0.5,0.125,0.10300429326014482,0.25,0.05150214663007241
1,17487,6,1,4,NA,NA,0.3333333333333333,NA,NA,NA,1,0.25,NA,2.593749983333333,0.4322916638888888,1,0.16666666666666666,0.3855421711520783,0.3333333333333333,0.12851405705069274
1,259052,8,1,1,0.0208333,0.01041665,0.4375,NA,1,NA,NA,0.375,NA,3.8333331,0.4791666375,1,0.125,0.2608695810964093,0.4375,0.11413044172967907
1,260732,4,2,5,0.0416666,NA,NA,0.0625,NA,1,0.5,NA,1.75,4.3541666,1.08854165,2.25,0.5625,0.5167464193951605,0.0625,0.014354067205421124
1,254761,9,1,1,0.0208333,0.01041665,NA,0.125,1,NA,NA,NA,NA,2.2291666,0.2476851777777778,1,0.1111111111111111,0.44859814425714073,0.125,0.05607476803214259
1,231855,4,1,1,0.0625,NA,0.125,NA,NA,NA,1,0.125,NA,2.817708325,0.70442708125,1,0.25,0.354898337463655,0.125,0.044362292182956876
1,259054,6,1,1,0.0208333,0.01041665,0.5833333333333333,NA,1.25,NA,NA,0.125,NA,3.541666583333333,0.5902777638888889,1.25,0.20833333333333334,0.35294118477508674,0.5833333333333333,0.1647058862283738
1,24136,4,0.75,2,0.03124995,NA,0.125,NA,NA,2.5,NA,NA,NA,2.05208325,0.5130208125,0,0,0,0.125,0.06091370805740947
1,228024,4,0.5,2,0.0625,NA,NA,0.0208333,NA,0.25,NA,NA,0.0625,1.3229164500000001,0.33072911250000003,0.5625,0.140625,0.4251969200322514,0.0208333,0.01574800887841405
1,259056,6,1,3,0.0208333,0.01041665,0.125,0.5,1,NA,NA,0.125,0.25,5.5937499,0.9322916499999999,1.25,0.20833333333333334,0.22346369114571962,0.625,0.11173184557285981
1,238570,2,0.28125,NA,0.005208325,0.005208325,NA,0.0208333,NA,NA,0.5,0.03124995,NA,0.8697915250000001,0.43489576250000006,0.5,0.25,0.574850393029525,0.0208333,0.023952061386204006
1,229629,4,0.5,2,0.0416666,0.01041665,NA,0.25,2,NA,NA,0.03124995,NA,4.84374985,1.2109374625,2,0.5,0.41290323859313255,0.25,0.05161290482414157
1,257945,4,1.5,1,0.03124995,NA,NA,0.0625,NA,1,0.3333333333333333,0.1875,0.3333333333333333,2.614583216666667,0.6536458041666667,0.6666666666666666,0.16666666666666666,0.25498009105887254,0.0625,0.023904383536769304
1,230202,12,5,NA,0.25,NA,NA,NA,NA,NA,1.25,0.25,NA,6.8125,0.5677083333333334,1.25,0.10416666666666667,0.1834862385321101,0,0
1,231394,12,1.5,1,0.125,NA,NA,0.0625,NA,1,1.25,0.0625,NA,3.03124995,0.2526041625,1.25,0.10416666666666667,0.4123711408226168,0.0625,0.020618557041130837
1,83723,6,1,3,NA,NA,NA,NA,NA,NA,1.5,0.0208333,NA,2.526041625,0.4210069375,1.5,0.25,0.5938144427845682,0,0
