recipe_id,is_pancake,servings,agave,baking_powder,baking_soda,bran,butter,buttermilk,cheese,chocolate,cornmeal,cream,cream_cheese,eggs,flour,frosting,fruit,fruit_juice,honey,low_cal_sweetener,margarine,mayonnaise,milk,mix,molasses,nut,oats,oil,other,salt,shortening,sour_cream,spice,starch,sugar,syrup,vanilla,vegetable,vinegar,water,wheat_germ,yeast,yogurt
257657,1,2,NA,NA,0.01041665,NA,0.125,NA,0.5,NA,NA,NA,NA,1,1.125,NA,1,1,NA,NA,NA,NA,0.75,NA,NA,NA,NA,0.0625,NA,NA,NA,NA,NA,NA,0.0625,NA,0.0026041625,NA,NA,NA,NA,NA,NA
57722,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,NA,NA,NA,NA,NA,0.125,NA,1,NA,NA,NA,NA,NA,NA,0.005208325,NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA
75391,1,20,NA,NA,NA,NA,0.0625,NA,NA,NA,NA,NA,NA,2,0.5,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,0.0625,NA,0.006944433333333333,NA,NA,NA,NA,0.0625,NA,NA,NA,NA,NA,NA,NA,NA
23357,1,5,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,0.125,NA,0.026041625,NA,NA,0.0833332,NA,0.140625,NA,NA,NA,NA,NA,NA,NA,NA
13940,1,6,NA,0.0208333,0.01041665,NA,NA,NA,NA,NA,0.5,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.125,NA,0.005208325,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA
238130,1,6,NA,0.0625,NA,NA,0.1458333,NA,0.25,NA,0.75,NA,NA,2,1.25,NA,NA,NA,NA,NA,NA,NA,1.3333333333333333,NA,NA,NA,NA,0.0208333,1.5026041625,0.015624975,NA,NA,0.0026041666666666665,NA,0.0625,1,NA,NA,NA,NA,NA,NA,NA
33160,1,6,NA,0.0416666,0.01041665,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,0.25,0.75,NA,0.25,0.01041665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21480,1,6,NA,0.0416666,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0.0013020833333333333,NA,NA,NA,NA,0.0416666,NA,NA,NA,NA,NA,NA,NA,NA
214791,1,6,NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.005208325,NA,NA,0.01041665,NA,NA,NA,0.01041665,NA,NA,NA,NA,NA,NA
17865,1,4,NA,0.0208333,0.03124995,NA,NA,2,NA,NA,NA,NA,NA,2,0.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,0.005208325,NA,NA,NA,NA,0.0416666,NA,NA,NA,NA,NA,NA,NA,NA
