recipe_id,is_pancake,servings,agave,baking_powder,baking_soda,bran,butter,buttermilk,cheese,chocolate,cornmeal,cream,cream_cheese,eggs,flour,frosting,fruit,fruit_juice,honey,low_cal_sweetener,margarine,mayonnaise,milk,mix,molasses,nut,oats,oil,other,salt,shortening,sour_cream,spice,starch,sugar,syrup,vanilla,vegetable,vinegar,water,wheat_germ,yeast,yogurt,total_volume,total_liquid,prop_liquid,total_fat,prop_fat
17267,other,12,NA,0.006944433333333333,4.340270833333333e-4,NA,NA,0.16666666666666666,NA,NA,0.14583333333333334,NA,NA,0.16666666666666666,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020833333333333332,NA,0.0017361083333333333,NA,NA,NA,NA,0.020833333333333332,NA,NA,NA,NA,NA,NA,NA,NA,0.4257812354166666,0.16666666666666666,0.3914373222755291,0.020833333333333332,0.048929665284441134
229355,other,12,NA,0.006944433333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08333333333333333,0.16666666666666666,NA,NA,NA,NA,NA,NA,NA,0.05555555555555555,NA,NA,NA,NA,NA,8.680541666666666e-4,8.680541666666666e-4,0.041666666666666664,NA,NA,NA,0.010416666666666666,NA,NA,NA,NA,NA,NA,NA,NA,0.28298609722222223,0.05555555555555555,0.19631902804019769,0.041666666666666664,0.14723927103014825
17718,other,8,NA,NA,NA,NA,0.015625,NA,NA,NA,NA,NA,NA,NA,0.40625,NA,0.125,NA,0.041666666666666664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00390624375,NA,NA,0.0026041625,NA,NA,NA,NA,NA,NA,0.15625,NA,0.005208325,NA,0.6315103979166666,0.15625,0.2474226877585293,0.015625,0.02474226877585293
237824,other,8,NA,NA,NA,NA,0.046875,NA,NA,NA,NA,NA,NA,0.125,0.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0026041625,NA,0.003255203125,NA,NA,NA,NA,0.0234375,NA,NA,NA,NA,0.125,NA,0.00390625,NA,0.642578115625,0.125,0.1945288782180505,0.0494791625,0.07700100781034905
18523,other,6,NA,NA,8.680541666666666e-4,NA,NA,NA,NA,NA,0.020833333333333332,NA,NA,NA,0.4166666666666667,NA,NA,NA,NA,NA,NA,NA,0.125,NA,NA,NA,NA,0.010416666666666666,NA,0.0017361083333333333,NA,NA,NA,NA,0.010416666666666666,NA,NA,NA,NA,0.08333333333333333,NA,0.005208333333333333,NA,0.6744791625000001,0.20833333333333331,0.30888031078844974,0.010416666666666666,0.015444015539422488
222747,other,12,NA,0.005208333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16666666666666666,0.16666666666666666,NA,0.16666666666666666,NA,NA,NA,0.020833333333333332,NA,0.08333333333333333,NA,NA,0.08333333333333333,NA,0.010416666666666666,NA,4.340270833333333e-4,NA,NA,0.0017361083333333333,NA,0.0625,NA,0.0034722166666666665,NA,NA,NA,NA,NA,NA,0.35460068541666667,0.08333333333333333,0.23500612593406048,0.010416666666666666,0.02937576574175756
6670,other,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027777777777777776,0.1527777777777778,NA,NA,0.027777777777777776,0.003472222222222222,NA,NA,NA,NA,NA,0.003472222222222222,0.006944444444444444,NA,0.006944444444444444,0.003472222222222222,0.0011574055555555556,NA,NA,NA,NA,2.893513888888889e-4,NA,NA,NA,NA,0.05555555555555555,NA,0.001736111111111111,NA,0.2566550902777777,0.08333333333333333,0.3246899691065612,0.006944444444444444,0.027057497425546768
6855,other,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1875,NA,NA,NA,NA,NA,NA,NA,0.08333333333333333,NA,NA,NA,NA,NA,NA,NA,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3333333333333333,0.08333333333333333,0.25,0.0625,0.1875
215490,other,24,NA,NA,0.0017361083333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.16666666666666666,0.13541666666666666,NA,NA,0.041666666666666664,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041666666666666664,NA,8.680541666666666e-4,NA,NA,0.0017361083333333333,NA,0.08333333333333333,NA,0.0026041666666666665,0.125,NA,NA,NA,NA,NA,0.3090277708333333,0.041666666666666664,0.13483146370407784,0.041666666666666664,0.13483146370407784
16942,other,15,NA,NA,NA,NA,0.004166666666666667,NA,NA,0.008333333333333333,NA,NA,NA,NA,0.21666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016666666666666666,NA,NA,NA,NA,0.002777773333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06666666666666667,NA,0.0034722166666666665,NA,0.31874999000000004,0.06666666666666667,0.20915033335896469,0.004166666666666667,0.013071895834935293
